"Democrat","Republican","D_over_R","R_over_D","Issue"
0.02301879,0.04246684,0.54204150815083,1.84487716339564,"Defense"
0.007156998,0.012768877,0.560503323824014,1.78411074028524,"Agriculture"
0.04109763,0.06453721,0.63680518572154,1.5703389708847,"Economy"
0.002461271,0.003732703,0.659380347163972,1.51657537914354,"Foreign.Trade"
0.02111693,0.02987184,0.706917618733898,1.41459198851348,"Intl..Affairs"
0.01051123,0.01347285,0.780178655592544,1.28175770104926,"Energy"
0.02937502,0.031521,0.931919038101583,1.07305458855858,"Immigration"
0.02545041,0.02729952,0.932265842036783,1.07265541105232,"Domestic.Commerce"
0.1277091,0.1260563,1.01311160172082,0.987058087481628,"Gov..Operations"
0.01041849,0.01016381,1.02505753255915,0.975554998853001,"Technology"
0.02945801,0.02720422,1.08284707299088,0.923491437473203,"Education"
0.01791686,0.01590364,1.12658863002432,0.887635445050081,"Transportation"
0.04404266,0.03657441,1.2041933143966,0.830431449871556,"Law.and.Crime"
0.010615937,0.008567484,1.23909621541167,0.807039830775183,"Public.Lands"
0.08865661,0.05951764,1.48958544055174,0.671327721644218,"Healthcare"
0.02194979,0.01251187,1.75431730029164,0.570022310008433,"Labor"
0.016614737,0.009259375,1.79436916638542,0.557298920831549,"Social.Welfare"
0.012818925,0.006755886,1.89744542758714,0.527024379969459,"Gun.Control"
0.06686687,0.03334054,2.00557249522653,0.498610746996233,"Civil.Rights"
0.012695644,0.006140873,2.06740051455225,0.483699212107712,"Housing"
0.02884378,0.0126521,2.27976225290663,0.438642230664635,"Environment"
